,Symbol
0,MSFT
1,AAPL
2,NVDA
3,AMZN
4,META
5,GOOGL
6,BRK-B
7,GOOG
8,LLY
9,JPM
10,AVGO
11,TSLA
12,V
13,UNH
14,XOM
15,MA
16,HD
17,PG
18,JNJ
19,COST
20,MRK
21,ABBV
22,CRM
23,AMD
24,NFLX
25,CVX
26,WMT
27,BAC
28,ACN
29,KO
30,PEP
31,ADBE
32,LIN
33,TMO
34,DIS
35,WFC
36,MCD
37,ORCL
38,CSCO
39,ABT
40,GE
41,QCOM
42,CAT
43,INTU
44,INTC
45,IBM
46,CMCSA
47,AMAT
48,VZ
49,DHR
50,UBER
51,NOW
52,PFE
53,TXN
54,UNP
55,AMGN
56,LOW
57,PM
58,COP
59,ISRG
60,SPGI
61,HON
62,AXP
63,GS
64,NEE
65,RTX
66,BKNG
67,LRCX
68,ETN
69,T
70,NKE
71,ELV
72,PGR
73,SYK
74,PLD
75,MS
76,C
77,BLK
78,TJX
79,UPS
80,MDT
81,BA
82,MU
83,VRTX
84,BMY
85,SBUX
86,CB
87,SCHW
88,CI
89,DE
90,REGN
91,ADP
92,MMC
93,CVS
94,BSX
95,MDLZ
96,ADI
97,LMT
98,KLAC
99,FI
100,GILD
101,BX
102,AMT
103,SNPS
104,PANW
105,CDNS
106,TMUS
107,SHW
108,CMG
109,MO
110,TGT
111,ZTS
112,ICE
113,WM
114,SLB
115,EQIX
116,CME
117,SO
118,ANET
119,CSX
120,ITW
121,DUK
122,EOG
123,MPC
124,CL
125,ABNB
126,PH
127,PYPL
128,MCK
129,BDX
130,PSX
131,TT
132,ORLY
133,USB
134,TDG
135,APH
136,NOC
137,FCX
138,AON
139,HCA
140,GD
141,EMR
142,PCAR
143,MAR
144,NXPI
145,MCO
146,PNC
147,FDX
148,MMM
149,PXD
150,NSC
151,ROP
152,ECL
153,VLO
154,MSI
155,EW
156,CEG
157,ADSK
158,AJG
159,AZO
160,CTAS
161,LULU
162,COF
163,AIG
164,APD
165,HLT
166,WELL
167,TRV
168,DXCM
169,F
170,SPG
171,ROST
172,CPRT
173,GM
174,CARR
175,TFC
176,URI
177,MCHP
178,DHI
179,NUE
180,IQV
181,WMB
182,OKE
183,CCI
184,AFL
185,MET
186,GWW
187,PSA
188,MNST
189,FAST
190,MSCI
191,IDXX
192,SRE
193,TEL
194,JCI
195,SMCI
196,AMP
197,AEP
198,O
199,STZ
200,FTNT
201,A
202,HUM
203,DLR
204,BK
205,AME
206,ALL
207,OXY
208,KMB
209,FIS
210,PRU
211,CNC
212,HES
213,LEN
214,SYY
215,DOW
216,CMI
217,OTIS
218,COR
219,D
220,LHX
221,NEM
222,PAYX
223,GIS
224,CSGP
225,CTVA
226,ODFL
227,RSG
228,YUM
229,IR
230,CTSH
231,IT
232,MLM
233,KR
234,GEHC
235,EXC
236,PWR
237,VMC
238,KVUE
239,KMI
240,GPN
241,PCG
242,FANG
243,VRSK
244,DG
245,ACGL
246,HAL
247,MRNA
248,EL
249,CDW
250,BKR
251,PPG
252,ADM
253,ON
254,EFX
255,EA
256,ROK
257,DD
258,RCL
259,MPWR
260,PEG
261,BIIB
262,DFS
263,DVN
264,KDP
265,FICO
266,XYL
267,ED
268,HIG
269,FTV
270,ANSS
271,VICI
272,HSY
273,EXR
274,DAL
275,CHTR
276,WST
277,XEL
278,CBRE
279,WTW
280,MTD
281,RMD
282,KHC
283,TSCO
284,CAH
285,EBAY
286,KEYS
287,DLTR
288,EIX
289,ZBH
290,HWM
291,TROW
292,LYB
293,WY
294,AVB
295,ULTA
296,HPQ
297,WAB
298,BLDR
299,WEC
300,NVR
301,CHD
302,GLW
303,FITB
304,DOV
305,PHM
306,TRGP
307,MOH
308,BR
309,MTB
310,TTWO
311,DECK
312,ALGN
313,IRM
314,SBAC
315,RJF
316,STE
317,AWK
318,STT
319,DTE
320,PTC
321,GRMN
322,APTV
323,AXON
324,FLT
325,ETR
326,HUBB
327,GPC
328,NTAP
329,HPE
330,STLD
331,EQR
332,IFF
333,BAX
334,ILMN
335,DRI
336,ES
337,NDAQ
338,WAT
339,BALL
340,BRO
341,CTRA
342,COO
343,INVH
344,TDY
345,PPL
346,FE
347,ARE
348,WDC
349,WBD
350,CBOE
351,VLTO
352,HBAN
353,J
354,AEE
355,LVS
356,CLX
357,OMC
358,CINF
359,TXT
360,FDS
361,PFG
362,EXPE
363,RF
364,IEX
365,SYF
366,LH
367,CNP
368,HOLX
369,WRB
370,TYL
371,VTR
372,AVY
373,LDOS
374,NTRS
375,EXPD
376,ATO
377,MKC
378,LUV
379,MAS
380,CMS
381,CCL
382,STX
383,EG
384,VRSN
385,SWKS
386,EPAM
387,AKAM
388,PKG
389,TSN
390,CE
391,CF
392,TER
393,CFG
394,JBL
395,FSLR
396,JBHT
397,TRMB
398,MRO
399,POOL
400,DPZ
401,ENPH
402,ESS
403,SNA
404,BBY
405,MAA
406,WBA
407,NRG
408,UAL
409,LW
410,LYV
411,ZBRA
412,HST
413,ALB
414,K
415,NDSN
416,VTRS
417,SWK
418,DGX
419,L
420,BG
421,KEY
422,LKQ
423,EQT
424,CAG
425,CRL
426,IP
427,PNR
428,AMCR
429,KMX
430,ROL
431,KIM
432,RVTY
433,SJM
434,IPG
435,WRK
436,JKHY
437,DOC
438,TAP
439,LNT
440,MGM
441,GEN
442,EVRG
443,ALLE
444,JNPR
445,PODD
446,HII
447,TECH
448,FFIV
449,UDR
450,EMN
451,QRVO
452,UHS
453,BBWI
454,NI
455,TPR
456,INCY
457,AOS
458,DAY
459,MOS
460,CPT
461,AES
462,TFX
463,APA
464,CTLT
465,GL
466,HRL
467,REG
468,NWSA
469,MTCH
470,HSIC
471,WYNN
472,AAL
473,AIZ
474,BF-B
475,PAYC
476,BXP
477,CZR
478,CHRW
479,CPB
480,RHI
481,NCLH
482,ETSY
483,PNW
484,MKTX
485,FMC
486,BEN
487,BWA
488,RL
489,DVA
490,FOXA
491,FRT
492,GNRC
493,IVZ
494,XRAY
495,BIO
