#,Company,Symbol,Portfolio%,Price,Chg,% Chg
1,Microsoft Corp,MSFT,8.88%,426.63,-2.74,(-0.64%)
2,Apple Inc,AAPL,7.71%,172.50,1.13,(0.66%)
3,NVIDIA Corp,NVDA,6.34%,944.30,29.95,(3.28%)
4,Amazon.com Inc,AMZN,5.18%,178.62,0.47,(0.26%)
5,Meta Platforms Inc,META,4.92%,506.44,-1.32,(-0.26%)
6,Broadcom Inc,AVGO,4.18%,"1,360.43",12.43,(0.92%)
7,Alphabet Inc,GOOGL,2.46%,150.23,2.63,(1.78%)
8,Costco Wholesale Corp,COST,2.38%,738.85,-3.71,(-0.50%)
9,Alphabet Inc,GOOG,2.38%,151.15,2.41,(1.62%)
10,Tesla Inc,TSLA,2.34%,168.84,-3.98,(-2.30%)
11,Advanced Micro Devices Inc,AMD,2.15%,177.05,-1.63,(-0.91%)
12,Netflix Inc,NFLX,1.97%,626.53,3.82,(0.61%)
13,PepsiCo Inc,PEP,1.73%,172.28,-0.17,(-0.10%)
14,Adobe Inc,ADBE,1.73%,501.44,-9.81,(-1.92%)
15,Linde PLC,LIN,1.65%,467.47,1.17,(0.25%)
16,Cisco Systems Inc,CSCO,1.46%,49.85,-0.04,(-0.07%)
17,T-Mobile US Inc,TMUS,1.40%,160.56,-0.37,(-0.23%)
18,QUALCOMM Inc,QCOM,1.34%,170.79,-0.06,(-0.03%)
19,Intel Corp,INTC,1.30%,42.29,-0.13,(-0.30%)
20,Intuit Inc,INTU,1.30%,640.27,-11.02,(-1.69%)
21,Comcast Corp,CMCSA,1.25%,42.63,-0.27,(-0.62%)
22,Applied Materials Inc,AMAT,1.23%,209.17,-1.64,(-0.78%)
23,Texas Instruments Inc,TXN,1.11%,172.23,-0.37,(-0.21%)
24,Amgen Inc,AMGN,1.07%,277.51,0.56,(0.20%)
25,Intuitive Surgical Inc,ISRG,1.01%,387.58,-4.38,(-1.12%)
26,Honeywell International Inc,HON,0.95%,200.24,-1.14,(-0.57%)
27,Lam Research Corp,LRCX,0.89%,979.39,-3.18,(-0.32%)
28,Booking Holdings Inc,BKNG,0.88%,"3,620.85",-26.96,(-0.74%)
29,Vertex Pharmaceuticals Inc,VRTX,0.79%,413.16,-2.55,(-0.61%)
30,Regeneron Pharmaceuticals Inc,REGN,0.76%,970.44,2.43,(0.25%)
31,Micron Technology Inc,MU,0.76%,108.60,-1.25,(-1.14%)
32,Starbucks Corp,SBUX,0.76%,90.67,-0.99,(-1.08%)
33,Automatic Data Processing Inc,ADP,0.73%,247.42,-1.53,(-0.61%)
34,Mondelez International Inc,MDLZ,0.71%,72.40,0.19,(0.26%)
35,Analog Devices Inc,ADI,0.69%,193.42,-1.73,(-0.89%)
36,KLA Corp,KLAC,0.67%,710.41,-2.73,(-0.38%)
37,Gilead Sciences Inc,GILD,0.67%,73.08,-0.01,(-0.02%)
38,Palo Alto Networks Inc,PANW,0.66%,287.66,0.03,(0.01%)
39,Synopsys Inc,SNPS,0.65%,594.99,-7.02,(-1.17%)
40,PDD Holdings Inc ADR,PDD,0.62%,124.14,1.84,(1.51%)
