#,Company,Symbol,Portfolio%,Price,Chg,% Chg
1,Microsoft Corp,MSFT,7.21%,426.63,-2.74,(-0.64%)
2,Apple Inc.,AAPL,5.92%,172.50,1.13,(0.66%)
3,Nvidia Corp,NVDA,5.09%,944.30,29.95,(3.28%)
4,Amazon.com Inc,AMZN,3.72%,178.62,0.47,(0.26%)
5,"Meta Platforms, Inc. Class A",META,2.54%,506.44,-1.32,(-0.26%)
6,Alphabet Inc. Class A,GOOGL,2.00%,150.23,2.63,(1.78%)
7,Berkshire Hathaway Class B,BRK-B,1.73%,412.35,-1.43,(-0.35%)
8,Alphabet Inc. Class C,GOOG,1.68%,151.15,2.41,(1.62%)
9,Eli Lilly & Co.,LLY,1.41%,770.28,0.02,(0.00%)
10,Jpmorgan Chase & Co.,JPM,1.29%,197.25,-1.81,(-0.91%)
11,Broadcom Inc.,AVGO,1.28%,"1,360.43",12.43,(0.92%)
12,"Tesla, Inc.",TSLA,1.11%,168.84,-3.98,(-2.30%)
13,Visa Inc.,V,1.04%,284.54,-5.83,(-2.01%)
14,Unitedhealth Group Incorporated,UNH,1.04%,493.02,1.33,(0.27%)
15,Exxon Mobil Corporation,XOM,1.02%,113.28,-0.21,(-0.19%)
16,Mastercard Incorporated,MA,0.92%,482.31,-6.33,(-1.30%)
17,"Home Depot, Inc.",HD,0.87%,391.10,-4.10,(-1.04%)
18,Procter & Gamble Company,PG,0.87%,161.87,0.01,(0.00%)
19,Johnson & Johnson,JNJ,0.85%,155.70,-0.05,(-0.03%)
20,Costco Wholesale Corp,COST,0.75%,738.85,-3.71,(-0.50%)
21,"Merck & Co., Inc.",MRK,0.72%,124.00,0.38,(0.31%)
22,Abbvie Inc.,ABBV,0.71%,177.91,0.41,(0.23%)
23,"Salesforce, Inc.",CRM,0.68%,308.31,-0.08,(-0.03%)
24,Advanced Micro Devices,AMD,0.66%,177.05,-1.63,(-0.91%)
25,Netflix Inc,NFLX,0.62%,626.53,3.82,(0.61%)
26,Chevron Corporation,CVX,0.61%,154.70,-0.16,(-0.10%)
27,Walmart Inc.,WMT,0.60%,61.19,-0.27,(-0.43%)
